Date,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
01-03-2016,CHI,MIA,6,11,0.545,1,1,1,4,7,0.571,0,0,0,3,1,0,3,0,17,10.6,-19,Yes,L ,-18,24,10
02-03-2016,CHI,ORL,7,14,0.5,0,0,,2,2,1,0,4,4,6,1,0,2,0,16,13.4,-14,Yes,L ,-13,24,51
05-03-2016,CHI,HOU,6,10,0.6,2,4,0.5,3,4,0.75,0,3,3,9,0,1,6,1,17,13.5,6,Yes,W ,8,29,15
07-03-2016,CHI,MIL,9,18,0.5,2,6,0.333,2,2,1,1,0,1,7,1,0,6,1,22,13.2,20,Yes,W ,10,38,56
10-03-2016,CHI,SAS,9,21,0.429,1,2,0.5,2,2,1,2,1,3,6,0,0,2,0,21,13.8,-1,Yes,L ,-8,35,47
16-03-2016,CHI,WAS,7,19,0.368,0,1,0,2,2,1,0,3,3,4,2,0,4,0,16,7.2,-5,Yes,L ,-21,29,4
17-03-2016,CHI,BRK,5,12,0.417,1,1,1,1,1,1,0,3,3,5,1,0,1,1,12,9.6,-3,Yes,W ,16,29,7
19-03-2016,CHI,UTA,10,15,0.667,2,2,1,0,0,,1,2,3,4,0,0,3,2,22,15.8,5,Yes,W ,7,30,38
21-03-2016,CHI,SAC,9,15,0.6,0,1,0,0,2,0,0,5,5,4,1,0,1,0,18,14.6,18,Yes,W ,7,33,4
23-03-2016,CHI,NYK,9,17,0.529,2,5,0.4,1,1,1,0,3,3,4,0,0,0,1,21,16,-4,Yes,L ,-8,31,36
24-03-2016,CHI,NYK,13,24,0.542,1,4,0.25,3,4,0.75,0,2,2,3,2,0,1,1,30,21.3,-6,Yes,L ,-12,38,58
26-03-2016,CHI,ORL,4,14,0.286,1,4,0.25,0,2,0,2,1,3,2,0,0,4,0,9,-0.9,-13,Yes,L ,-22,29,26
28-03-2016,CHI,ATL,8,25,0.32,2,4,0.5,2,2,1,2,3,5,5,2,1,1,1,20,12.8,-1,Yes,L ,-2,34,3
