,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
25,2014-12-18,CHI,NYK,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+6,00,00
26,2014-12-19,CHI,MEM,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+6,00,00
27,2014-12-22,CHI,TOR,1,12,19,.632,0,3,.000,5,6,.833,0,2,2,3,0,0,2,1,29,20.4,+4,Yes,W ,+9,30,52
28,2014-12-23,CHI,WAS,1,10,17,.588,1,3,.333,4,4,1.000,1,1,2,4,2,0,5,0,25,17.9,+2,Yes,W ,+8,28,34
29,2014-12-25,CHI,LAL,1,7,14,.500,2,6,.333,4,4,1.000,0,2,2,6,1,0,3,0,20,15.8,+4,Yes,W ,+20,31,47
30,2014-12-27,CHI,NOP,1,8,18,.444,2,5,.400,1,2,.500,0,1,1,1,0,0,4,0,19,6.2,-3,Yes,W ,+7,27,01
31,2014-12-29,CHI,IND,1,5,20,.250,1,7,.143,6,6,1.000,0,3,3,6,0,2,3,0,17,8.5,+2,Yes,W ,+2,34,50
32,2014-12-30,CHI,BRK,1,2,15,.133,0,5,.000,0,0,,1,3,4,5,0,1,4,2,4,-4.7,-2,Yes,L ,-14,27,41
33,2015-01-01,CHI,DEN,1,7,25,.280,1,3,.333,2,2,1.000,0,3,3,8,2,2,1,1,17,10.8,+1,Yes,W ,+5,31,34
34,2015-01-03,CHI,BOS,1,5,18,.278,1,4,.250,1,2,.500,0,2,2,1,1,0,4,1,12,-1.1,-5,Yes,W ,+5,34,41
35,2015-01-05,CHI,HOU,1,6,17,.353,1,4,.250,6,6,1.000,1,2,3,9,2,0,3,1,19,15.7,+12,Yes,W ,+9,34,05
36,2015-01-07,CHI,UTA,1,3,15,.200,0,1,.000,1,2,.500,2,2,4,2,0,0,3,2,7,-3.1,-18,Yes,L ,-20,30,12
37,2015-01-09,CHI,WAS,1,8,19,.421,1,7,.143,2,2,1.000,1,3,4,2,0,1,4,1,19,8.2,-21,Yes,L ,-16,30,58
38,2015-01-10,CHI,MIL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,No,W ,+8,00,00
39,2015-01-12,CHI,ORL,1,8,15,.533,1,5,.200,1,3,.333,0,2,2,7,2,0,3,3,18,13.2,-2,Yes,L ,-7,30,28
40,2015-01-14,CHI,WAS,1,12,22,.545,6,9,.667,2,3,.667,0,2,2,5,0,0,3,2,32,21.3,-18,Yes,L ,-6,36,03
42,2015-01-16,CHI,BOS,1,12,20,.600,5,8,.625,0,0,,1,2,3,10,1,2,0,0,29,30.5,+9,Yes,W ,+16,32,48
43,2015-01-17,CHI,ATL,1,8,22,.364,4,10,.400,3,5,.600,2,6,8,10,0,0,3,0,23,17.2,+3,Yes,L ,-8,37,06
44,2015-01-19,CHI,CLE,1,5,14,.357,3,5,.600,5,5,1.000,0,1,1,2,1,0,1,1,18,11.5,-13,Yes,L ,-14,29,56
45,2015-01-22,CHI,SAS,1,9,16,.563,2,4,.500,2,2,1.000,1,1,2,5,2,0,2,1,22,18.5,+26,Yes,W ,+23,26,39
46,2015-01-23,CHI,DAL,1,7,17,.412,3,5,.600,3,3,1.000,2,1,3,3,1,1,5,0,20,11.4,+8,Yes,W ,+4,37,05
47,2015-01-25,CHI,MIA,1,7,17,.412,0,6,.000,5,6,.833,0,2,2,4,1,1,4,1,19,10.2,-13,Yes,L ,-12,33,17
48,2015-01-27,CHI,GSW,1,13,33,.394,4,12,.333,0,0,,2,5,7,1,0,1,11,1,30,5.0,+10,Yes,W ,+2,42,55
49,2015-01-29,CHI,LAL,1,7,26,.269,1,7,.143,2,2,1.000,2,2,4,6,1,0,5,1,17,3.4,-6,Yes,L ,-5,42,28
50,2015-01-30,CHI,PHO,1,8,23,.348,0,6,.000,7,9,.778,2,3,5,3,0,0,3,2,23,9.9,+15,Yes,L ,-6,36,19
51,2015-02-04,CHI,HOU,1,9,22,.409,2,9,.222,3,4,.750,0,4,4,2,0,0,3,1,23,10.0,+6,Yes,L ,-11,38,03
52,2015-02-07,CHI,NOP,1,8,15,.533,2,5,.400,2,3,.667,0,2,2,4,0,0,2,0,20,13.7,+23,Yes,W ,+35,28,03
53,2015-02-08,CHI,ORL,1,4,14,.286,1,4,.250,1,2,.500,0,1,1,11,2,0,3,0,10,8.4,+2,Yes,W ,+1,34,53
54,2015-02-10,CHI,SAC,1,10,17,.588,1,4,.250,2,3,.667,0,1,1,7,2,1,0,0,23,22.6,+16,Yes,W ,+18,32,36
