,Unnamed: 0,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played
69,72,2009-03-21,CHI,LAL,1,10,19,.526,0,0,,5,5,1.000,4,1,5,4,0,0,4,1,25,17.2,-10,Yes,L ,-8,39,2
70,73,2009-03-23,CHI,WAS,1,6,15,.400,0,0,,0,0,,1,4,5,8,0,0,1,2,12,9.6,+3,Yes,W ,2,38,58
71,74,2009-03-24,CHI,DET,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,No,W ,8,0,0
72,75,2009-03-26,CHI,MIA,0,4,7,.571,0,0,,1,2,.500,0,5,5,7,0,0,0,0,9,11.7,+15,Yes,W ,19,30,3
73,76,2009-03-28,CHI,IND,1,7,18,.389,0,0,,2,3,.667,1,8,9,8,0,0,2,2,16,11.7,-11,Yes,W ,6,33,16
74,77,2009-03-29,CHI,TOR,1,9,13,.692,0,0,,5,6,.833,0,3,3,9,1,0,4,3,23,20.1,+6,Yes,L ,-5,42,24
75,78,2009-03-31,CHI,IND,1,12,21,.571,0,0,,0,1,.000,2,9,11,6,0,0,0,1,24,21.6,0,Yes,L ,-2,39,46
76,79,2009-04-04,CHI,NJN,1,7,12,.583,0,0,,1,1,1.000,2,2,4,5,2,0,2,4,15,13.3,+14,Yes,W ,9,34,59
77,80,2009-04-07,CHI,NYK,1,7,17,.412,0,0,,4,5,.800,1,2,3,6,1,0,3,0,18,12.0,+2,Yes,W ,7,38,16
78,81,2009-04-09,CHI,PHI,1,8,13,.615,0,3,.000,0,0,,0,2,2,8,2,1,3,1,16,15.6,+25,Yes,W ,14,38,59
79,82,2009-04-11,CHI,CHA,1,10,16,.625,0,0,,2,2,1.000,1,2,3,7,2,1,1,2,22,21.9,+7,Yes,W ,7,41,17
80,84,2009-04-13,CHI,DET,1,9,17,.529,0,1,.000,6,9,.667,1,4,5,8,0,1,2,0,24,20.7,+3,Yes,W ,3,40,46
81,85,2009-04-15,CHI,TOR,1,7,14,.500,0,0,,6,8,.750,3,3,6,11,1,2,2,1,20,22.9,-7,Yes,L ,-11,42,37
0,0,2009-10-29,CHI,SAS,1,5,12,.417,0,1,.000,3,5,.600,1,6,7,7,1,1,1,2,13,13.1,+4,Yes,W ,7,33,8
1,1,2009-10-30,CHI,BOS,1,4,8,.500,0,0,,2,3,.667,0,0,0,2,0,0,2,1,10,4.6,-19,Yes,L ,-28,23,57
2,2,2009-11-01,CHI,MIA,1,4,15,.267,0,0,,0,2,.000,1,4,5,5,1,0,2,2,8,1.9,-11,Yes,L ,-8,35,8
3,3,2009-11-03,CHI,MIL,1,6,12,.500,0,0,,4,4,1.000,1,1,2,5,0,1,5,0,16,10.2,-6,Yes,W ,2,28,50
4,4,2009-11-05,CHI,CLE,1,6,15,.400,0,2,.000,2,2,1.000,1,1,2,11,1,0,2,1,14,13.2,+1,Yes,W ,1,32,33
