,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Tm,Opp,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Game Played,Match Result,Points,Minutes Played,Seconds Played,Trp Dbl,Team
565,898,24,25,2019-12-12,DET,DAL,0,7,16,0.438,5,10,0.5,0,0,,0,0,0,4,2,0,3,0,19,12.4,-17,Yes,L ,-11,25,46,No,Michigan
566,899,25,26,2019-12-14,DET,HOU,0,10,21,0.476,0,4,0.0,0,0,,2,2,4,12,0,0,2,2,20,16.9,-6,Yes,W ,8,26,57,No,Michigan
567,900,26,27,2019-12-16,DET,WAS,0,8,17,0.471,2,5,0.4,4,4,1.0,2,4,6,8,1,0,3,1,22,19.1,-13,Yes,L ,-14,28,33,No,Michigan
568,901,27,28,2019-12-18,DET,TOR,0,8,17,0.471,0,4,0.0,0,1,0.0,0,4,4,5,0,1,1,0,16,11.3,-9,Yes,L ,-13,28,22,No,Michigan
569,902,28,29,2019-12-20,DET,BOS,0,6,12,0.5,0,1,0.0,2,2,1.0,0,0,0,4,0,0,3,0,14,7.8,-26,Yes,L ,-21,23,34,No,Michigan
570,904,30,31,2019-12-23,DET,PHI,0,7,14,0.5,0,4,0.0,2,2,1.0,0,3,3,7,2,1,2,0,16,15.5,-3,Yes,L ,-16,25,17,No,Michigan
571,905,31,32,2019-12-26,DET,WAS,0,6,11,0.545,3,6,0.5,0,0,,2,0,2,6,1,0,2,1,15,13.9,9,Yes,W ,30,21,5,No,Michigan
572,906,32,33,2019-12-28,DET,SAS,0,10,17,0.588,2,4,0.5,2,2,1.0,0,3,3,4,4,0,4,0,24,19.8,-11,Yes,L ,-27,27,19,No,Michigan
573,907,33,34,2019-12-30,DET,UTA,0,8,17,0.471,1,2,0.5,3,6,0.5,0,0,0,4,1,1,2,1,20,12.2,1,Yes,L ,-23,26,16,No,Michigan
574,908,34,35,2020-01-02,DET,LAC,0,5,15,0.333,0,2,0.0,4,4,1.0,0,2,2,6,0,0,1,1,14,8.9,-6,Yes,L ,-14,27,0,No,Michigan
575,909,35,36,2020-01-04,DET,GSW,0,10,16,0.625,1,4,0.25,1,1,1.0,0,2,2,2,1,0,4,1,22,13.4,4,Yes,W ,7,28,13,No,Michigan
576,910,36,37,2020-01-05,DET,LAL,0,8,19,0.421,2,3,0.667,10,10,1.0,1,2,3,5,1,1,2,3,28,21.2,-3,Yes,L ,-7,28,53,No,Michigan
577,911,37,38,2020-01-07,DET,CLE,0,9,21,0.429,2,5,0.4,4,4,1.0,0,3,3,7,1,0,4,2,24,14.9,5,Yes,W ,2,30,32,No,Michigan
578,912,38,39,2020-01-09,DET,CLE,0,13,24,0.542,0,2,0.0,1,1,1.0,4,3,7,5,0,0,6,3,27,15.4,1,Yes,L ,-3,35,42,No,Michigan
579,913,39,40,2020-01-11,DET,CHI,0,7,11,0.636,2,3,0.667,4,4,1.0,0,2,2,7,0,0,4,1,20,16.2,-1,Yes,L ,-9,29,0,No,Michigan
580,914,40,42,2020-01-13,DET,NOP,0,10,23,0.435,0,3,0.0,3,4,0.75,0,4,4,8,0,1,3,1,23,14.6,2,Yes,L ,-7,36,31,No,Michigan
581,915,41,43,2020-01-15,DET,BOS,1,11,13,0.846,0,2,0.0,0,0,,0,2,2,6,0,1,3,0,22,19.8,12,Yes,W ,13,28,44,No,Michigan
582,916,42,44,2020-01-18,DET,ATL,1,12,17,0.706,1,3,0.333,2,2,1.0,0,2,2,9,1,0,1,1,27,26.4,24,Yes,W ,33,26,19,No,Michigan
583,917,43,45,2020-01-20,DET,WAS,1,8,21,0.381,1,5,0.2,4,6,0.667,0,4,4,2,2,0,2,1,21,10.9,-6,Yes,L ,-6,34,17,No,Michigan
584,918,44,46,2020-01-22,DET,SAC,1,8,17,0.471,0,1,0.0,6,7,0.857,0,6,6,11,0,0,1,4,22,19.8,0,Yes,W ,21,30,7,No,Michigan
585,919,45,47,2020-01-24,DET,MEM,1,10,21,0.476,0,2,0.0,2,3,0.667,2,1,3,8,1,0,3,1,22,15.8,-18,Yes,L ,-13,33,10,No,Michigan
586,920,46,48,2020-01-25,DET,BRK,1,10,22,0.455,2,4,0.5,5,5,1.0,1,3,4,6,2,0,1,1,27,22.0,-10,Yes,L ,-10,36,59,No,Michigan
587,922,48,50,2020-01-29,DET,BRK,1,9,15,0.6,1,2,0.5,3,3,1.0,0,6,6,5,0,0,2,0,22,18.4,-10,Yes,L ,-10,30,47,No,Michigan
588,923,49,51,2020-01-31,DET,TOR,1,9,16,0.563,2,5,0.4,1,1,1.0,0,0,0,3,0,0,1,0,21,14.5,-12,Yes,L ,-13,29,50,No,Michigan
589,924,50,52,2020-02-02,DET,DEN,1,1,3,0.333,0,1,0.0,0,2,0.0,1,0,1,2,0,0,1,0,2,0.6,-4,Yes,W ,5,12,52,No,Michigan
590,930,56,58,2020-02-12,DET,ORL,0,1,13,0.077,0,4,0.0,0,0,,0,0,0,4,1,1,3,0,2,-5.2,-16,Yes,L ,-4,17,2,No,Michigan
591,931,57,59,2020-02-20,DET,MIL,1,6,15,0.4,0,3,0.0,0,0,,0,0,0,4,0,1,2,0,12,5.4,-12,Yes,L ,-20,23,7,No,Michigan
592,932,58,60,2020-02-23,DET,POR,1,6,16,0.375,1,4,0.25,2,2,1.0,0,2,2,3,0,0,5,0,15,3.9,-19,Yes,L ,-3,27,40,No,Michigan
593,933,59,61,2020-02-25,DET,DEN,1,6,14,0.429,1,3,0.333,7,7,1.0,1,1,2,5,2,0,4,2,20,14.3,-12,Yes,L ,-17,27,1,No,Michigan
594,934,60,63,2020-02-28,DET,PHO,1,15,24,0.625,1,2,0.5,0,0,,2,1,3,4,2,1,3,0,31,24.4,-6,Yes,W ,2,30,8,No,Michigan
595,935,61,64,2020-03-01,DET,SAC,1,3,5,0.6,1,1,1.0,2,2,1.0,0,3,3,2,0,0,1,1,9,7.6,11,Yes,L ,-6,9,23,No,Michigan
596,940,0,0,2020-12-23,DET,MIN,0,7,13,0.538,1,3,0.333,0,2,0.0,0,1,1,6,2,1,1,1,15,13.7,-7,Yes,L ,-10,26,48,No,Michigan
597,941,1,1,2020-12-26,DET,CLE,0,4,15,0.267,1,2,0.5,4,6,0.667,1,3,4,4,0,0,6,1,13,1.3,-3,Yes,L ,-9,33,7,No,Michigan
598,943,3,3,2020-12-29,DET,GSW,0,6,18,0.333,1,4,0.25,2,2,1.0,1,1,2,7,2,0,2,4,15,9.1,8,Yes,L ,-10,26,26,No,Michigan
599,944,4,4,2021-01-01,DET,BOS,0,7,12,0.583,0,3,0.0,3,4,0.75,0,5,5,4,2,0,4,2,17,12.5,4,Yes,W ,3,24,11,No,Michigan
600,945,5,5,2021-01-03,DET,BOS,0,4,12,0.333,1,3,0.333,4,4,1.0,1,0,1,8,0,1,4,0,13,9.2,6,Yes,L ,-2,23,29,No,Michigan
601,946,6,6,2021-01-04,DET,MIL,0,9,18,0.5,2,4,0.5,4,4,1.0,0,2,2,8,1,0,0,1,24,21.8,4,Yes,L ,-10,24,38,No,Michigan
602,947,7,7,2021-01-06,DET,MIL,0,3,7,0.429,0,1,0.0,4,4,1.0,0,1,1,1,0,0,0,1,10,6.9,-6,Yes,L ,-15,11,3,No,Michigan
603,948,8,8,2021-01-08,DET,PHO,0,1,7,0.143,0,1,0.0,2,2,1.0,0,0,0,5,1,1,2,1,4,2.3,-13,Yes,W ,5,19,25,No,Michigan
604,951,11,11,2021-01-16,DET,MIA,0,8,12,0.667,3,5,0.6,4,5,0.8,0,1,1,4,4,0,1,2,23,22.7,2,Yes,W ,20,21,18,No,Michigan
605,952,12,12,2021-01-18,DET,MIA,0,6,11,0.545,1,4,0.25,8,9,0.889,0,3,3,4,2,0,3,1,21,17.6,-6,Yes,L ,-6,26,34,No,Michigan
